Ticker,Name,Exchange
BTCUSD=X,Bitcoin USD,CCY
BWPMAD=X,BWP/MAD,CCY
BWPKYD=X,BWP/KYD,CCY
BWPISK=X,BWP/ISK,CCY
BWPINR=X,BWP/INR,CCY
BWPIDR=X,BWP/IDR,CCY
BWPFJD=X,BWP/FJD,CCY
BWPEUR=X,BWP/EUR,CCY
BWPBDT=X,BWP/BDT,CCY
BRLINR=X,BRL/INR,CCY
BOBVEF=X,BOB/VEF,CCY
BOBUSD=X,BOB/USD,CCY
BOBPEN=X,BOB/PEN,CCY
BOBCOP=X,BOB/COP,CCY
BOBCHF=X,BOB/CHF,CCY
BMDUSD=X,BMD/USD,CCY
BMD=X,USD/BMD,CCY
BHDOMR=X,BHD/OMR,CCY
BHDJPY=X,BHD/JPY,CCY
BHDEUR=X,BHD/EUR,CCY
BHDCHF=X,BHD/CHF,CCY
BHDAED=X,BHD/AED,CCY
BBDDKK=X,BBD/DKK,CCY
BWPNGN=X,BWP/NGN,CCY
BWPTOP=X,BWP/TOP,CCY
BWPGBP=X,BWP/GBP,CCY
BTN=X,USD/BTN,CCY
29134332=X,,
BWPHUF=X,BWP/HUF,CCY
BND=X,USD/BND,CCY
BNDGBP=X,BND/GBP,CCY
BRLCAD=X,BRL/CAD,CCY
BRLRUB=X,BRL/RUB,CCY
BM.PA,,
BWPMUR=X,BWP/MUR,CCY
BAMGBP=X,BAM/GBP,CCY
BTNUSD=X,BTN/USD,CCY
BRLPEN=X,BRL/PEN,CCY
BWPTRY=X,BWP/TRY,CCY
BWPSEK=X,BWP/SEK,CCY
BMDDKK=X,BMD/DKK,CCY
GDEBQ.MDD,,
BWPAUD=X,BWP/AUD,CCY
BWPXDR=X,BWP/XDR,CCY
BHDXDR=X,BHD/XDR,CCY
BWPRUB=X,BWP/RUB,CCY
IDEBY.MDD,,
BRLCHF=X,BRL/CHF,CCY
BOB=X,USD/BOB,CCY
EOB.PA,,
BMDGBP=X,BMD/GBP,CCY
BRLDKK=X,BRL/DKK,CCY
BWPCHF=X,BWP/CHF,CCY
BRLMYR=X,BRL/MYR,CCY
BDTHKD=X,BDT/HKD,CCY
BDTCAD=X,BDT/CAD,CCY
BWPKES=X,BWP/KES,CCY
BWPCNY=X,BWP/CNY,CCY
BWPMYR=X,BWP/MYR,CCY
BRLHKD=X,BRL/HKD,CCY
BHDNZD=X,BHD/NZD,CCY
BRLTHB=X,BRL/THB,CCY
BWPPGK=X,BWP/PGK,CCY
BWPRSD=X,BWP/RSD,CCY
BAMEUR=X,BAM/EUR,CCY
BBDUSD=X,BBD/USD,CCY
BHDSAR=X,BHD/SAR,CCY
BWPZMW=X,BWP/ZMW,CCY
BWPBMD=X,BWP/BMD,CCY
BZDGBP=X,BZD/GBP,CCY
BWPOMR=X,BWP/OMR,CCY
BRLCNY=X,BRL/CNY,CCY
GDEBM.MDD,GDEBM.MDD,MDD
BWPRON=X,BWP/RON,CCY
BGNGBP=X,BGN/GBP,CCY
BOBUYU=X,BOB/UYU,CCY
BRLTRY=X,BRL/TRY,CCY
BHD=X,USD/BHD,CCY
BNDIDR=X,BND/IDR,CCY
BWPNOK=X,BWP/NOK,CCY
BTNGBP=X,BTN/GBP,CCY
BRLEUR=X,BRL/EUR,CCY
BWPTZS=X,BWP/TZS,CCY
BOBBRL=X,BOB/BRL,CCY
BZDCHF=X,BZD/CHF,CCY
BWPCLF=X,BWP/CLF,CCY
BWPBGN=X,BWP/BGN,CCY
BSDCAD=X,BSD/CAD,CCY
BNDUSD=X,BND/USD,CCY
BWPMWK=X,BWP/MWK,CCY
BWPZAR=X,BWP/ZAR,CCY
BWPHKD=X,BWP/HKD,CCY
BZD=X,USD/BZD,CCY
BWP=X,USD/BWP,CCY
BRLUYU=X,BRL/UYU,CCY
BGNCHF=X,BGN/CHF,CCY
ENDK.IR,,
BWPBHD=X,BWP/BHD,CCY
CHBEZ.SW,CHBEZ.SW,EBS
BBDEUR=X,BBD/EUR,CCY
BWPNAD=X,BWP/NAD,CCY
BIF=X,USD/BIF,CCY
BRLZAR=X,BRL/ZAR,CCY
BAMCHF=X,BAM/CHF,CCY
BDTSGD=X,BDT/SGD,CCY
BOBMXN=X,BOB/MXN,CCY
BWPKZT=X,BWP/KZT,CCY
BDT=X,USD/BDT,CCY
GDEBY.MDD,,
BWPXOF=X,BWP/XOF,CCY
BRLSGD=X,BRL/SGD,CCY
BSDGBP=X,BSD/GBP,CCY
BWPJOD=X,BWP/JOD,CCY
BBDCHF=X,BBD/CHF,CCY
BRLARS=X,BRL/ARS,CCY
BWPJPY=X,BWP/JPY,CCY
BNDCHF=X,BND/CHF,CCY
BRLILS=X,BRL/ILS,CCY
BWPPEN=X,BWP/PEN,CCY
BZDEUR=X,BZD/EUR,CCY
BWPPKR=X,BWP/PKR,CCY
BWPSGD=X,BWP/SGD,CCY
BMS.PA,BMS.PA,PAR
BWPAED=X,BWP/AED,CCY
BRLCOP=X,BRL/COP,CCY
BRLIDR=X,BRL/IDR,CCY
BWPCOP=X,BWP/COP,CCY
BWPKWD=X,BWP/KWD,CCY
BNDXDR=X,BND/XDR,CCY
BHDPKR=X,BHD/PKR,CCY
BNDDKK=X,BND/DKK,CCY
BWPCNH=X,BWP/CNH,CCY
BGNPLN=X,BGN/PLN,CCY
BHDUSD=X,BHD/USD,CCY
BHDQAR=X,BHD/QAR,CCY
BBDGBP=X,BBD/GBP,CCY
BWPCZK=X,BWP/CZK,CCY
BWPTHB=X,BWP/THB,CCY
BYR=X,USD/BYR,CCY
BWPLKR=X,BWP/LKR,CCY
BDTUSD=X,BDT/USD,CCY
BHDHKD=X,BHD/HKD,CCY
BWPSBD=X,BWP/SBD,CCY
BRLMXN=X,BRL/MXN,CCY
BWPKRW=X,BWP/KRW,CCY
BWPUGX=X,BWP/UGX,CCY
BWPUSD=X,BWP/USD,CCY
BAMUSD=X,BAM/USD,CCY
BTNEUR=X,BTN/EUR,CCY
BRLPYG=X,BRL/PYG,CCY
BWPTWD=X,BWP/TWD,CCY
BDTJPY=X,BDT/JPY,CCY
BOBEUR=X,BOB/EUR,CCY
BHDGBP=X,BHD/GBP,CCY
BGNEUR=X,BGN/EUR,CCY
BRLUSD=X,BRL/USD,CCY
BWPGHS=X,BWP/GHS,CCY
BRLSEK=X,BRL/SEK,CCY
BHDSGD=X,BHD/SGD,CCY
BAM=X,USD/BAM,CCY
BZDUSD=X,BZD/USD,CCY
BWPRWF=X,BWP/RWF,CCY
BGN=X,USD/BGN,CCY
IDEBQ.MDD,,
BBD=X,USD/BBD,CCY
IDEBM.MDD,,
BWPTND=X,BWP/TND,CCY
BWPILS=X,BWP/ILS,CCY
BRLKRW=X,BRL/KRW,CCY
BWPANG=X,BWP/ANG,CCY
BOBPYG=X,BOB/PYG,CCY
BRLVEF=X,BRL/VEF,CCY
BWPHRK=X,BWP/HRK,CCY
BWPCLP=X,BWP/CLP,CCY
BWPAFN=X,BWP/AFN,CCY
BSDUSD=X,BSD/USD,CCY
BOBARS=X,BOB/ARS,CCY
BDTGBP=X,BDT/GBP,CCY
BSDCHF=X,BSD/CHF,CCY
BWPMXN=X,BWP/MXN,CCY
BWPDKK=X,BWP/DKK,CCY
BWPCAD=X,BWP/CAD,CCY
BOBGBP=X,BOB/GBP,CCY
BDTSEK=X,BDT/SEK,CCY
BWPSAR=X,BWP/SAR,CCY
BHDDKK=X,BHD/DKK,CCY
BSDEUR=X,BSD/EUR,CCY
BGNTRY=X,BGN/TRY,CCY
BRLJPY=X,BRL/JPY,CCY
BWPPHP=X,BWP/PHP,CCY
BRLGBP=X,BRL/GBP,CCY
BGNCZK=X,BGN/CZK,CCY
BRL=X,USD/BRL,CCY
BDTCHF=X,BDT/CHF,CCY
BHDKWD=X,BHD/KWD,CCY
