name,code
아시아나IDT,267850.KS
에스엘,005850.KS
에어부산,298690.KS
엘브이엠씨,900140.KS
영흥,012160.KS
우리금융지주,316140.KS
웰바이오텍,010600.KS
유니온,000910.KS
유한양행,000100.KS
이리츠코크렙,088260.KS
이월드,084680.KS
일진전기,103590.KS
제일기획,030000.KS
제일연마,001560.KS
조광피혁,004700.KS
조선선재,120030.KS
카카오,035720.KS
컨버즈,109070.KS
케이씨텍,281820.KS
케이티,030200.KS
코리안리,003690.KS
쿠쿠홀딩스,192400.KS
쿠쿠홈시스,284740.KS
크라운제과,264900.KS
크라운해태홀딩스,005740.KS
태림포장,011280.KS
태원물산,001420.KS
티에이치엔,019180.KS
퍼스텍,010820.KS
퍼시스,016800.KS
한국토지신탁,034830.KS
한국항공우주,047810.KS
한독,002390.KS
한솔제지,213500.KS
한솔케미칼,014680.KS
한솔테크닉스,004710.KS
한일현대시멘트,006390.KS
한전기술,052690.KS
한화시스템,272210.KS
해성디에스,195870.KS
현대리바트,079430.KS
현대백화점,069960.KS
현대엘리베이터,017800.KS
형지엘리트,093240.KS
혜인,003010.KS
휠라홀딩스,081660.KS
BGF,027410.KS
DB,012030.KS
DB손해보험,005830.KS
E1,017940.KS
HL홀딩스,060980.KS
JW생명과학,234080.KS
KC그린홀딩스,009440.KS
LG유플러스,032640.KS
LS네트웍스,000680.KS
SGC에너지,005090.KS
SIMPAC,009160.KS
SNT에너지,100840.KS
SNT중공업,003570.KS
SNT홀딩스,036530.KS
SPC삼립,005610.KS
STX엔진,077970.KS
경동도시가스,267290.KS
경방,000050.KS
고려제강,002240.KS
광동제약,009290.KS
광주신세계,037710.KS
금비,008870.KS
금호석유화학,011780.KS
대림통상,006570.KS
대신증권,003540.KS
대영포장,014160.KS
대원전선,006340.KS
대원화성,024890.KS
대유에이텍,002880.KS
대한화섬,003830.KS
덕성,004830.KS
덴티움,145720.KS
도화엔지니어링,002150.KS
동방,004140.KS
동부건설,005960.KS
동성제약,002210.KS
동아타이어,282690.KS
동양고속,084670.KS
동원수산,030720.KS
두산,000150.KS
두산에너빌리티,034020.KS
롯데지주,004990.KS
미원에스씨,268280.KS
삼성에스디에스,018260.KS
삼성중공업,010140.KS
삼양사,145990.KS
삼익악기,002450.KS
삼천리,004690.KS
서울식품공업,004410.KS
성창기업지주,000180.KS
세아제강,306200.KS
세아제강지주,003030.KS
세원이앤씨,091090.KS
세종공업,033530.KS
시디즈,134790.KS
신세계,004170.KS
신풍제지,002870.KS
아세아,002030.KS
에스디바이오센서,137310.KS
에스제이엠홀딩스,025530.KS
영진약품,003520.KS
영풍,000670.KS
유성기업,002920.KS
이아이디,093230.KS
일진홀딩스,015860.KS
자이에스앤디,317400.KS
제이알글로벌리츠,348950.KS
진양폴리우레탄,010640.KS
참엔지니어링,009310.KS
카카오페이,377300.KS
케이카,381970.KS
코람코에너지리츠,357120.KS
코스맥스,192820.KS
코스맥스비티아이,044820.KS
키움증권,039490.KS
티웨이항공,091810.KS
팜젠사이언스,004720.KS
팬오션,028670.KS
평화산업,090080.KS
포스코인터내셔널,047050.KS
한국ANKOR유전,152550.KS
한국화장품,123690.KS
한국화장품제조,003350.KS
한미반도체,042700.KS
한섬,020000.KS
한세실업,105630.KS
한솔홈데코,025750.KS
한전산업,130660.KS
한진칼,180640.KS
한컴라이프케어,372910.KS
한화손해보험,000370.KS
현대모비스,012330.KS
화승엔터프라이즈,241590.KS
화인베스틸,133820.KS
화천기계,010660.KS
효성티앤씨,298020.KS
후성,093370.KS
휴스틸,005010.KS
DB하이텍,000990.KS
DL이앤씨,375500.KS
HDC현대EP,089470.KS
HD현대,267250.KS
HLB글로벌,003580.KS
HSD엔진,082740.KS
